,distribution,N.d,support.d,sd.d,se.d,ci.d,poor.d,rich.d,distribution.r,party.r,N.r,support.r,sd.r,se.r,ci.r,poor,rich,dminr_dif
169,X10p.u_05r.u_b,36,0.777777778,0.421637021,0.070272837,0.142661443,10,5,X10p.u_05r.u_b,Rep,62,0.774193548,0.421525521,0.053533795,0.107047439,10,5,0.003584229
171,X10p.u_10r.d_b,44,0.863636364,0.347141757,0.052333589,0.105540741,10,-10,X10p.u_10r.d_b,Rep,54,0.722222222,0.452108964,0.061524237,0.123401993,10,-10,0.141414141
173,X10p.u_10r.u_b,45,0.8,0.404519917,0.060302269,0.121531237,10,10,X10p.u_10r.u_b,Rep,51,0.843137255,0.367290023,0.05143089,0.103301984,10,10,-0.043137255
175,X10p.u_15r.d_b,56,0.892857143,0.312093892,0.041705301,0.08357929,10,-15,X10p.u_15r.d_b,Rep,45,0.666666667,0.476731295,0.071066905,0.143225937,10,-15,0.226190476
177,X10p.u_15r.u_b,53,0.698113208,0.463469593,0.063662445,0.127748041,10,15,X10p.u_15r.u_b,Rep,48,0.791666667,0.410414079,0.05923817,0.119171826,10,15,-0.093553459
179,X10p.u_20r.d_b,50,0.84,0.37032804,0.052372294,0.105246064,10,-20,X10p.u_20r.d_b,Rep,49,0.612244898,0.492287455,0.070326779,0.141401467,10,-20,0.227755102
181,X10p.u_20r.u_b,49,0.530612245,0.504233776,0.072033397,0.144832851,10,20,X10p.u_20r.u_b,Rep,49,0.836734694,0.373437789,0.053348256,0.107263857,10,20,-0.306122449
183,X10p.u_25r.d_b,39,0.820512821,0.388776412,0.062254049,0.126026734,10,-25,X10p.u_25r.d_b,Rep,59,0.559322034,0.500730034,0.065189498,0.130490958,10,-25,0.261190787
185,X10p.u_25r.u_b,54,0.574074074,0.499125721,0.067922407,0.136235097,10,25,X10p.u_25r.u_b,Rep,43,0.674418605,0.474137324,0.072305264,0.14591793,10,25,-0.100344531
187,X10p.u_30r.d_b,50,0.72,0.453557368,0.064142698,0.128899578,10,-30,X10p.u_30r.d_b,Rep,51,0.411764706,0.497050122,0.069600939,0.139797599,10,-30,0.308235294
189,X10p.u_30r.u_b,48,0.583333333,0.498223795,0.071912411,0.14466911,10,30,X10p.u_30r.u_b,Rep,50,0.72,0.453557368,0.064142698,0.128899578,10,30,-0.136666667
191,X10p.u_35r.d_b,44,0.772727273,0.423915106,0.063907607,0.128881972,10,-35,X10p.u_35r.d_b,Rep,57,0.49122807,0.504366895,0.066805027,0.133826551,10,-35,0.281499203
193,X10p.u_35r.u_b,49,0.591836735,0.496586991,0.070940999,0.142636438,10,35,X10p.u_35r.u_b,Rep,49,0.591836735,0.496586991,0.070940999,0.142636438,10,35,0
195,X10p.u_40r.d_b,46,0.739130435,0.44396109,0.065458492,0.13184017,10,-40,X10p.u_40r.d_b,Rep,55,0.4,0.494413232,0.066666667,0.133658619,10,-40,0.339130435
197,X10p.u_40r.u_b,49,0.510204082,0.505076272,0.072153753,0.145074844,10,40,X10p.u_40r.u_b,Rep,51,0.68627451,0.468623349,0.065620394,0.131802441,10,40,-0.176070428
199,X10p.u_45r.d_b,50,0.84,0.37032804,0.052372294,0.105246064,10,-45,X10p.u_45r.d_b,Rep,49,0.551020408,0.502544546,0.071792078,0.144347647,10,-45,0.288979592
201,X10p.u_45r.u_b,53,0.509433962,0.504694939,0.069325181,0.139111154,10,45,X10p.u_45r.u_b,Rep,48,0.583333333,0.498223795,0.071912411,0.14466911,10,45,-0.073899371
203,X10p.u_50r.d_b,54,0.592592593,0.495965554,0.067492363,0.135372537,10,-50,X10p.u_50r.d_b,Rep,46,0.347826087,0.481543412,0.070999703,0.143000742,10,-50,0.244766506
